year,mes,periodo,median,mean,max,variance,sd,sex,area_m2_ha,fruits_comp,fruits_comp_p
2013,Abr,p2,NA,NA,NA,NA,NA,All,0.297196299,85.71428571,0.857142857
2013,May,p1,NA,NA,NA,NA,NA,All,0.215336512,67.83216783,0.678321678
2013,May,p2,1,1.463276836,6,2.590973292,1.609650053,All,0.236701968,72.03389831,0.720338983
2013,Jun,p1,1,2.03514377,10,5.341709675,2.311213896,All,0.279863783,62.16216216,0.621621622
2013,Jun,p2,3,3.287878788,13,7.467092564,2.732598134,All,0.609148176,78.10218978,0.781021898
2013,Jul,p1,4,4.280172414,13,10.93975747,3.307530418,All,0.427554458,70.10309278,0.701030928
2013,Jul,p2,1,2.670175439,8,6.174460742,2.484846221,All,0.479189238,75.41666667,0.754166667
2013,Ago,p1,1,1.615969582,4,0.781763534,0.884173928,All,0.383319557,79.32011331,0.793201133
2013,Ago,p2,1,1.44516129,2,0.248596565,0.49859459,All,0.519438308,59.54198473,0.595419847
2013,Sep,p1,3,3.483271375,12,7.623786273,2.761120474,All,0.387301421,64.1025641,0.641025641
2013,Sep,p2,1,1.25,2,0.19047619,0.43643578,All,0.602823678,70,0.7
2013,Oct,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2013,Oct,p2,2,2.553324969,9,5.204753378,2.281392859,All,NA,70.60849598,0.70608496
2013,Nov,p1,3,3.963414634,11,12.58301032,3.547253912,All,0.382658678,53.65853659,0.536585366
2013,Nov,p2,4,4.511066398,12,13.90763938,3.729294757,All,0.18802871,84.31372549,0.843137255
2013,Dic,p1,1,1.621832359,5,1.157491167,1.075867635,All,0.319307342,69.41176471,0.694117647
2013,Dic,p2,NA,NA,NA,NA,NA,All,0.561798337,NA,NA
2014,Ene,p1,4,3.955555556,5,0.588888889,0.767390962,All,NA,100,1
2014,Ene,p2,3,4.458658346,13,12.15805382,3.486840091,All,0.66955167,84.83412322,0.848341232
2014,Feb,p1,6,5.275626424,11,10.59950426,3.255687986,All,0.925822831,81.93146417,0.819314642
2014,Feb,p2,2,5.241196013,18,32.57808899,5.707721874,All,0.758826122,87.46736292,0.874673629
2014,Mar,p1,2,2.971603991,8,3.34251102,1.828253544,All,0.580301608,83.84030418,0.838403042
2014,Mar,p2,1,2.048429319,8,2.863968696,1.692326415,All,0.618200893,93.70229008,0.937022901
2014,Abr,p1,2,2.924242424,5,3.548018648,1.883618499,All,0.33066821,66.66666667,0.666666667
2014,Abr,p2,2,3.333333333,9,10.57174638,3.25142221,All,NA,92.53246753,0.925324675
2014,May,p1,3,5.2125,14,21.71377152,4.659803807,All,0.382565051,94.89795918,0.948979592
2014,May,p2,1,2.916167665,12,9.640958084,3.104989224,All,0.283301464,87.65690377,0.876569038
2014,Jun,p1,1,1.468446602,4,0.853016559,0.923588956,All,0.380151506,90.96045198,0.90960452
2014,Jun,p2,2,1.604571429,3,0.388079765,0.622960484,All,0.344512591,65.53755523,0.655375552
2014,Jul,p1,1,1.863760218,6,1.924114627,1.38712459,All,0.631088128,57.05521472,0.570552147
2014,Jul,p2,1,1.451448041,8,1.553906682,1.246557934,All,0.620011849,66.31439894,0.663143989
2014,Ago,p1,2,2.235763098,5,1.514477809,1.230641219,All,0.57091483,36.40350877,0.364035088
2014,Ago,p2,1,1.612051176,6,1.927881134,1.388481593,All,0.898382461,46.96802646,0.469680265
2014,Sep,p1,2,2.724440895,7,2.367651566,1.538717507,All,1.023244076,84.64467005,0.846446701
2014,Sep,p2,1,2.310447761,8,3.161205177,1.777977834,All,0.302289887,59.37090433,0.593709043
2014,Oct,p1,2,2.402332362,10,5.169885147,2.273738144,All,0.555876691,49.57118353,0.495711835
2014,Oct,p2,2,2.396070321,10,3.628680194,1.904909498,All,0.471105647,71.59533074,0.715953307
2014,Nov,p1,3,4.083413231,17,13.64658642,3.694128641,All,0.669127561,75.68533969,0.756853397
2014,Nov,p2,2,2.406926407,7,3.045499102,1.745135841,All,0.626791857,67,0.67
2014,Dic,p1,2,2.125237192,6,2.46337328,1.569513708,All,0.319704806,42.91845494,0.429184549
2014,Dic,p2,1,3.063829787,10,12.47026732,3.531326567,All,0.484857719,57.8125,0.578125
2015,Ene,p1,2,3.473684211,9,6.715133157,2.591357397,All,0.82774298,83.96946565,0.839694657
2015,Ene,p2,2,1.955844156,5,1.370441017,1.170658369,All,1.120487136,93.80053908,0.938005391
2015,Feb,p1,2,4.335051546,12,16.30234931,4.037616786,All,0.73942678,97.87234043,0.978723404
2015,Feb,p2,4,6.400809717,16,26.60981679,5.158470392,All,0.683412807,90,0.9
2015,Mar,p1,4,4.159279778,8,4.957951214,2.226645732,All,0.507472085,92.71523179,0.927152318
2015,Mar,p2,6,4.530612245,7,6.295918367,2.509166867,All,0.453787046,100,1
2015,Abr,p1,3,2.282555283,4,1.405187543,1.185406067,All,0.371835116,91.13300493,0.911330049
2015,Abr,p2,1,1.261111111,3,0.550015475,0.741630282,All,0.441844451,92.3943662,0.923943662
2015,May,p1,1,1.418449198,5,0.623862652,0.789849765,All,0.328494214,78.70216306,0.787021631
2015,May,p2,2,1.4606866,3,0.599062499,0.773991279,All,0.238592835,83.27444052,0.832744405
2015,Jun,p1,1,1.187772926,4,1.197042825,1.094094523,All,0.281108852,74.76038339,0.747603834
2015,Jun,p2,1,1.036535859,3,0.476983105,0.690639635,All,0.258574328,58.59872611,0.585987261
2015,Jul,p1,1,1.210137276,4,0.2718633,0.521405121,All,0.196148172,74.9068323,0.749068323
2015,Jul,p2,1,0.907692308,4,0.348288716,0.590159907,All,0.468822211,69.65517241,0.696551724
2015,Ago,p1,NA,NA,NA,NA,NA,All,0.394211934,NA,NA
2015,Ago,p2,2,1.746724891,4,2.084693174,1.443846659,All,0.220074787,80,0.8
2015,Sep,p1,NA,NA,NA,NA,NA,All,0.335156078,NA,NA
2015,Sep,p2,NA,NA,NA,NA,NA,All,0.278181579,NA,NA
2015,Oct,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2015,Oct,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2015,Nov,p1,NA,NA,NA,NA,NA,All,0.479756238,NA,NA
2015,Nov,p2,NA,NA,NA,NA,NA,All,0.429678374,NA,NA
2015,Dic,p1,NA,NA,NA,NA,NA,All,0.408063679,NA,NA
2015,Dic,p2,NA,NA,NA,NA,NA,All,0.508369473,NA,NA
2016,Ene,p1,NA,NA,NA,NA,NA,All,0.541023665,NA,NA
2016,Ene,p2,NA,NA,NA,NA,NA,All,0.491839123,NA,NA
2016,Feb,p1,NA,NA,NA,NA,NA,All,0.528734316,NA,NA
2016,Feb,p2,NA,NA,NA,NA,NA,All,0.560444293,NA,NA
2016,Mar,p1,NA,NA,NA,NA,NA,All,0.517490655,NA,NA
2016,Mar,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2016,Abr,p1,NA,NA,NA,NA,NA,All,0.334113032,NA,NA
2016,Abr,p2,NA,NA,NA,NA,NA,All,0.266468904,NA,NA
2016,May,p1,NA,NA,NA,NA,NA,All,0.27324219,NA,NA
2016,May,p2,NA,NA,NA,NA,NA,All,0.114643343,NA,NA
2016,Jun,p1,NA,NA,NA,NA,NA,All,0.178120419,NA,NA
2016,Jun,p2,NA,NA,NA,NA,NA,All,0.595255089,NA,NA
2016,Jul,p1,NA,NA,NA,NA,NA,All,0.473118689,NA,NA
2016,Jul,p2,3,2.266666667,3,1.114089347,1.055504309,All,0.284745797,74.28571429,0.742857143
2016,Ago,p1,2,3.789473684,11,11.07551487,3.327989614,All,0.147227391,74.43181818,0.744318182
2016,Ago,p2,2,2.80620155,7,3.991886947,1.997970707,All,0.226737952,57.30337079,0.573033708
2016,Sep,p1,2,3.295343137,9,6.132297305,2.476347574,All,0.218920854,74.04255319,0.740425532
2016,Sep,p2,1,1.923728814,4,1.208607722,1.099366964,All,0.300399966,57.91139241,0.579113924
2016,Oct,p1,2,2.615288221,8,2.375023192,1.541111025,All,0.233344566,66.95095949,0.669509595
2016,Oct,p2,1,1.673568819,5,0.754288346,0.868497752,All,0.266407422,71.20954003,0.7120954
2016,Nov,p1,2,2.328877005,6,2.842163664,1.685871781,All,0.209224377,58.69242199,0.58692422
2016,Nov,p2,2,2.582914573,10,5.579103572,2.36201261,All,0.233028601,69.75609756,0.697560976
2016,Dic,p1,3,3.231958763,8,4.318149125,2.07801567,All,0.295318958,79.85865724,0.798586572
2016,Dic,p2,3,3.570731707,8,6.656353987,2.579991083,All,0.402080066,54.4973545,0.544973545
2017,Ene,p1,3,3.086477987,7,4.107470411,2.02668952,All,0.738882736,88,0.88
2017,Ene,p2,4,5.148148148,9,8.417989418,2.901377159,All,0.726993201,NA,NA
2017,Feb,p1,NA,NA,NA,NA,NA,All,1.183919194,NA,NA
2006,Ago,p2,1,0.692307692,NA,NA,NA,female,0.147241662,70.9876543,0.709876543
2006,Sep,p1,0,0.715384615,4,1.042397138,1.02097852,female,NA,55.5555556,0.555555556
2006,Sep,p2,NA,NA,4,1.042397138,1.02097852,female,0.439190137,NA,NA
2006,Oct,p1,2,2.407185629,6,2.71271914,1.647033436,female,0.486124024,75.70512823,0.757051282
2006,Oct,p2,1,1.741935484,6,2.71271914,1.647033436,female,0.377639253,91.66944342,0.916694434
2006,Nov,p1,3,2.688,5,2.02283871,1.422265344,female,0.283601302,94.3019943,0.943019943
2006,Nov,p2,2,2.270833333,5,2.02283871,1.422265344,female,0.589759218,83.87507103,0.83875071
2006,Dic,p1,3,2.966165414,9,5.474322599,2.339727035,female,0.860714791,74.17504683,0.741750468
2006,Dic,p2,0,1.263736264,9,5.474322599,2.339727035,female,0.683970654,83.33333333,0.833333333
2007,Ene,p1,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,Ene,p2,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,Feb,p1,4,3.419354839,9,5.952793076,2.439834641,female,NA,NA,NA
2007,Feb,p2,NA,NA,9,5.952793076,2.439834641,female,NA,NA,NA
2007,Mar,p1,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,Mar,p2,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,Abr,p1,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,Abr,p2,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,May,p1,NA,NA,NA,NA,NA,female,NA,NA,NA
2007,May,p2,3,2.956386293,NA,NA,NA,female,0.529952905,90.36733247,0.903673325
2007,Jun,p1,1,1.869127517,6,3.326249068,1.82380072,female,0.353735366,78.93768769,0.789376877
2007,Jun,p2,2,2.638554217,6,3.326249068,1.82380072,female,0.303412268,90.19744483,0.901974448
2007,Jul,p1,2,2.517006803,5,2.18880738,1.479461855,female,0.363384717,84.49824823,0.844982482
2007,Jul,p2,4,3.228835979,5,2.18880738,1.479461855,female,0.463713661,78.83170091,0.788317009
2007,Ago,p1,2,2.402799378,9,3.826596513,1.956168835,female,0.415626741,80.54285714,0.805428571
2007,Ago,p2,3,2.664254703,9,3.826596513,1.956168835,female,0.265635831,86.63911845,0.866391185
2007,Sep,p1,4,3.264957265,6,3.154486722,1.776087476,female,0.206281564,NA,NA
2007,Sep,p2,2,2.418848168,6,3.154486722,1.776087476,female,0.249262022,NA,NA
2007,Oct,p1,2,2.263157895,6,1.710035959,1.307683432,female,0.342254443,95.50561798,0.95505618
2007,Oct,p2,2,2.076923077,6,1.710035959,1.307683432,female,0.367555094,78.85207223,0.788520722
2007,Nov,p1,1,2.045714286,6,3.602488743,1.898022324,female,0.56027635,68.15413277,0.681541328
