MO	Investigador	AVISTAJE	FOCAL_SAMPLE	ANIMAL_FOCAL	Especie	Anio	Date	Time	TOTAL	KU	KA	KI	KO	KK	PE	PL	PI	PA	BA	BO	BL	DL	DB	DN	DE	VI	VT	VN	RA	RK	KY	WA	PK	MO	NW	KL	AM	SAM	JM	IM	AF	SAF	JF	IF	AX	SAX	JX	IX	XX	TotalAM	TotalAF	TOTAL	tipo_subg
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	12:30	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	12:45	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	13:00	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	13:15	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	13:30	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	13:45	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	14:00	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	14:15	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	14:30	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	14:45	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	15:00	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	15:15	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	15:30	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	15:45	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
MO08550	Andres_Montes	AV08523	FS08503	Dulima	Ateles_hybridus	2010	23-10-2010	16:00	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	mixto
