year	mes	month	periodo	median	mean	max	variance	sd	n.dias	n.registros	medianf	meanf	maxf	variancef	sdf	medianm	meanm	maxm	variancem	sdm	area_m2	area_m2_ha	fruits_comp	fruits_comp_indiv	fruits_comp_q	area_m2_p	area_m2_np	area_m2_10g	avg_fis_rate	sd_fis	avg_fus_rate	sd_fus	p_M	sd_M	p_F	sd_F
2008	Nov	11	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.934494692	0.177998989	83.43	0.591715688	82.89473684	0.16464339	0.769851302	0.255723344	0.211965812	0.190596374	0	0	0.295555556	0.138899399	0.704444444	0.138899399
2008	Nov	11	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.833886112	84.18604651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2008	Dic	12	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.934859585	91.75824176	NA	NA	NA	0.093023256	NA	0.186046512	NA	0.20212766	0.370950226	0.79787234	0.370950226
2008	Dic	12	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.898351648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Ene	1	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Ene	1	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Feb	2	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Feb	2	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Mar	3	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Mar	3	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Abr	4	p1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2009	Abr	4	p2	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
